========================================13/11/2022 09:59:51========================================
Step:0/5000 -- 0/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 4.035E+00 / 6.763E-01 / 1.834E+00 Valid: 2.647E+00 / 4.225E-01 / 1.479E+00
Step:0/5000 -- 1/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.777E+00 / 3.862E-01 / 1.364E+00 Valid: 3.073E+00 / 3.477E-01 / 1.286E+00
Step:0/5000 -- 2/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.715E+00 / 3.383E-01 / 1.262E+00 Valid: 2.872E+00 / 3.113E-01 / 1.222E+00
Step:0/5000 -- 3/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.606E+00 / 3.159E-01 / 1.210E+00 Valid: 3.474E+00 / 3.149E-01 / 1.208E+00
Step:0/5000 -- 4/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.567E+00 / 3.075E-01 / 1.177E+00 Valid: 2.950E+00 / 3.005E-01 / 1.161E+00
Step:0/5000 -- 5/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.529E+00 / 2.984E-01 / 1.147E+00 Valid: 2.887E+00 / 3.158E-01 / 1.131E+00
Step:0/5000 -- 6/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.521E+00 / 2.892E-01 / 1.125E+00 Valid: 2.562E+00 / 2.837E-01 / 1.142E+00
Step:0/5000 -- 7/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.459E+00 / 2.833E-01 / 1.104E+00 Valid: 2.714E+00 / 2.853E-01 / 1.100E+00
Step:0/5000 -- 8/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.455E+00 / 2.780E-01 / 1.085E+00 Valid: 2.850E+00 / 2.783E-01 / 1.085E+00
Step:0/5000 -- 9/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.425E+00 / 2.729E-01 / 1.078E+00 Valid: 2.767E+00 / 2.701E-01 / 1.110E+00
Step:0/5000 -- 10/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.393E+00 / 2.656E-01 / 1.059E+00 Valid: 2.818E+00 / 2.622E-01 / 1.076E+00
Step:0/5000 -- 11/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.383E+00 / 2.626E-01 / 1.043E+00 Valid: 2.604E+00 / 2.738E-01 / 1.064E+00
Step:0/5000 -- 12/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.346E+00 / 2.616E-01 / 1.036E+00 Valid: 3.185E+00 / 2.603E-01 / 1.026E+00
Step:0/5000 -- 13/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.352E+00 / 2.573E-01 / 1.017E+00 Valid: 2.772E+00 / 2.428E-01 / 1.031E+00
Step:0/5000 -- 14/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.308E+00 / 2.537E-01 / 1.002E+00 Valid: 2.724E+00 / 2.363E-01 / 1.005E+00
Step:0/5000 -- 15/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.324E+00 / 2.519E-01 / 1.007E+00 Valid: 3.009E+00 / 2.616E-01 / 9.928E-01
Step:0/5000 -- 16/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.317E+00 / 2.511E-01 / 9.982E-01 Valid: 2.744E+00 / 2.502E-01 / 9.687E-01
Step:0/5000 -- 17/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.320E+00 / 2.486E-01 / 9.887E-01 Valid: 2.670E+00 / 2.540E-01 / 9.989E-01
Step:0/5000 -- 18/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.280E+00 / 2.463E-01 / 9.814E-01 Valid: 2.848E+00 / 2.359E-01 / 9.651E-01
Step:0/5000 -- 19/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.280E+00 / 2.446E-01 / 9.782E-01 Valid: 2.787E+00 / 2.279E-01 / 9.714E-01
Step:0/5000 -- 20/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.285E+00 / 2.410E-01 / 9.603E-01 Valid: 2.830E+00 / 2.462E-01 / 9.431E-01
Step:0/5000 -- 21/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.266E+00 / 2.410E-01 / 9.587E-01 Valid: 2.828E+00 / 2.386E-01 / 9.609E-01
Step:0/5000 -- 22/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.245E+00 / 2.382E-01 / 9.498E-01 Valid: 2.678E+00 / 2.493E-01 / 9.632E-01
Step:0/5000 -- 23/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.218E+00 / 2.374E-01 / 9.452E-01 Valid: 2.616E+00 / 2.475E-01 / 9.469E-01
Step:0/5000 -- 24/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.267E+00 / 2.357E-01 / 9.393E-01 Valid: 2.794E+00 / 2.293E-01 / 9.330E-01
Step:0/5000 -- 25/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.247E+00 / 2.355E-01 / 9.391E-01 Valid: 2.763E+00 / 2.386E-01 / 9.440E-01
Step:0/5000 -- 26/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.230E+00 / 2.372E-01 / 9.319E-01 Valid: 2.557E+00 / 2.287E-01 / 9.413E-01
Step:0/5000 -- 27/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.238E+00 / 2.343E-01 / 9.272E-01 Valid: 2.690E+00 / 2.314E-01 / 9.131E-01
Step:0/5000 -- 28/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.188E+00 / 2.327E-01 / 9.287E-01 Valid: 2.496E+00 / 2.368E-01 / 8.999E-01
Step:0/5000 -- 29/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.222E+00 / 2.307E-01 / 9.264E-01 Valid: 2.611E+00 / 2.284E-01 / 9.315E-01
Step:0/5000 -- 30/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.226E+00 / 2.339E-01 / 9.234E-01 Valid: 2.754E+00 / 2.272E-01 / 9.179E-01
Step:0/5000 -- 31/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.240E+00 / 2.291E-01 / 9.135E-01 Valid: 2.682E+00 / 2.361E-01 / 9.176E-01
Step:0/5000 -- 32/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.211E+00 / 2.283E-01 / 9.104E-01 Valid: 2.637E+00 / 2.259E-01 / 8.974E-01
Step:0/5000 -- 33/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.202E+00 / 2.279E-01 / 9.083E-01 Valid: 2.646E+00 / 2.218E-01 / 9.084E-01
Step:0/5000 -- 34/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.192E+00 / 2.277E-01 / 9.084E-01 Valid: 2.596E+00 / 2.186E-01 / 8.987E-01
Step:0/5000 -- 35/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.215E+00 / 2.267E-01 / 9.004E-01 Valid: 2.569E+00 / 2.245E-01 / 9.185E-01
Step:0/5000 -- 36/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.182E+00 / 2.270E-01 / 9.023E-01 Valid: 2.660E+00 / 2.238E-01 / 8.694E-01
Step:0/5000 -- 37/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.185E+00 / 2.225E-01 / 8.947E-01 Valid: 2.742E+00 / 2.164E-01 / 8.925E-01
Step:0/5000 -- 38/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.196E+00 / 2.249E-01 / 8.931E-01 Valid: 2.539E+00 / 2.247E-01 / 8.944E-01
Step:0/5000 -- 39/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.180E+00 / 2.217E-01 / 8.849E-01 Valid: 2.509E+00 / 2.241E-01 / 9.003E-01
Step:0/5000 -- 40/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.164E+00 / 2.230E-01 / 8.823E-01 Valid: 2.609E+00 / 2.139E-01 / 8.821E-01
Step:0/5000 -- 41/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.112E+00 / 2.222E-01 / 8.826E-01 Valid: 2.550E+00 / 2.129E-01 / 8.809E-01
Step:0/5000 -- 42/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.148E+00 / 2.207E-01 / 8.847E-01 Valid: 2.642E+00 / 2.129E-01 / 8.842E-01
Step:0/5000 -- 43/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.108E+00 / 2.196E-01 / 8.811E-01 Valid: 2.810E+00 / 2.323E-01 / 8.871E-01
Step:0/5000 -- 44/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.128E+00 / 2.242E-01 / 8.768E-01 Valid: 2.613E+00 / 2.182E-01 / 8.662E-01
Step:0/5000 -- 45/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.137E+00 / 2.201E-01 / 8.789E-01 Valid: 2.532E+00 / 2.198E-01 / 8.621E-01
Step:0/5000 -- 46/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.106E+00 / 2.185E-01 / 8.727E-01 Valid: 2.576E+00 / 2.158E-01 / 8.736E-01
Step:0/5000 -- 47/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.117E+00 / 2.166E-01 / 8.691E-01 Valid: 2.578E+00 / 2.179E-01 / 8.782E-01
Step:0/5000 -- 48/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.136E+00 / 2.188E-01 / 8.723E-01 Valid: 2.609E+00 / 2.094E-01 / 8.583E-01
Step:0/5000 -- 49/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.124E+00 / 2.148E-01 / 8.618E-01 Valid: 2.638E+00 / 2.067E-01 / 8.627E-01
Step:0/5000 -- 50/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.092E+00 / 2.174E-01 / 8.659E-01 Valid: 2.653E+00 / 2.242E-01 / 8.689E-01
Step:0/5000 -- 51/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.087E+00 / 2.176E-01 / 8.645E-01 Valid: 2.481E+00 / 2.070E-01 / 8.399E-01
Step:0/5000 -- 52/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.086E+00 / 2.133E-01 / 8.643E-01 Valid: 2.494E+00 / 2.113E-01 / 8.593E-01
Step:0/5000 -- 53/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.098E+00 / 2.143E-01 / 8.532E-01 Valid: 2.591E+00 / 2.265E-01 / 8.609E-01
Step:0/5000 -- 54/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.154E+00 / 2.208E-01 / 8.599E-01 Valid: 2.698E+00 / 2.244E-01 / 8.121E-01
Step:1/5000 -- 0/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.082E+00 / 2.120E-01 / 8.503E-01 Valid: 2.519E+00 / 2.158E-01 / 8.714E-01
Step:1/5000 -- 1/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.082E+00 / 2.154E-01 / 8.484E-01 Valid: 2.524E+00 / 2.066E-01 / 8.389E-01
Step:1/5000 -- 2/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.096E+00 / 2.148E-01 / 8.514E-01 Valid: 2.536E+00 / 2.062E-01 / 8.342E-01
Step:1/5000 -- 3/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.064E+00 / 2.132E-01 / 8.461E-01 Valid: 2.677E+00 / 2.183E-01 / 8.539E-01
Step:1/5000 -- 4/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.076E+00 / 2.134E-01 / 8.469E-01 Valid: 2.629E+00 / 2.066E-01 / 8.425E-01
Step:1/5000 -- 5/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.117E+00 / 2.140E-01 / 8.436E-01 Valid: 2.647E+00 / 2.220E-01 / 8.391E-01
Step:1/5000 -- 6/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.109E+00 / 2.112E-01 / 8.468E-01 Valid: 2.455E+00 / 2.120E-01 / 8.563E-01
Step:1/5000 -- 7/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.078E+00 / 2.139E-01 / 8.438E-01 Valid: 2.549E+00 / 2.256E-01 / 8.504E-01
Step:1/5000 -- 8/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.058E+00 / 2.121E-01 / 8.412E-01 Valid: 2.638E+00 / 2.153E-01 / 8.381E-01
Step:1/5000 -- 9/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.075E+00 / 2.125E-01 / 8.424E-01 Valid: 2.579E+00 / 2.201E-01 / 8.538E-01
Step:1/5000 -- 10/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.064E+00 / 2.105E-01 / 8.427E-01 Valid: 2.515E+00 / 2.171E-01 / 8.516E-01
Step:1/5000 -- 11/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.054E+00 / 2.099E-01 / 8.290E-01 Valid: 2.677E+00 / 2.140E-01 / 8.423E-01
